OBEC;PSC
Abovce;98044
Abrahám;92545
Abrahámovce;05972
Abrahámovce;08641
Abramová;03822
Abranovce;08252
Adamovské Kochanovce;91305
Adidovce;06732
Alekšince;95122
Andovce;94123
Andrejová;08637
Ardanovce;95606
Ardovo;04955
Arnutovce;05313
Babie;09431
Babindol;95153
Babinec;98026
Babiná;96261
Babín;02952
Bacúch;97664
Bacúrov;96261
Badín;97405
Badín;97632
Bajany;07254
Bajerov;08241
Bajerovce;08273
Bajka;93551
Bajtava;94365
Bajč;94654
Baka;93004
Baldovce;05304
Balog nad Ipľom;99111
Baloň;93008
Baláže;97611
Banka;92101
Banská Belá;96615
Banská Bystrica;97401
Banská Bystrica;97404
Banská Bystrica;97405
Banská Bystrica;97409
Banská Bystrica;97411
Banská Bystrica;97634
Banská Štiavnica;96615
Banská Štiavnica;96901
Banské;09412
Banský Studenec;96901
Bara;07632
Barca;98251
Bardejov;08501
Bardejov;08631
Bardoňovo;94149
Bartošova Lehôtka;96701
Bartošovce;08642
Batizovce;05935
Bačka;07684
Bačkov;07661
Bačkovík;04445
Baďan;96901
Baňa;09101
Baška;04016
Baškovce;06723
Baškovce;07301
Bašovce;92201
Becherov;08635
Beckov;91501
Beckov;91638
Beharovce;05305
Beladice;95175
Belejovce;08901
Belina;98601
Belince;95612
Bellova Ves;93052
Beloveža;08614
Beluj;96901
Beluša;01861
Belá;01305
Belá;01306
Belá;94353
Belá nad Cirochou;06781
Belá-Dulice;03811
Belín;98001
Belža;04458
Beniakovce;04442
Benice;03842
Benkovce;09402
Bernolákovo;90027
Bertotovce;08235
Betlanovce;05315
Betliar;04921
Beňadikovce;09042
Beňadiková;03204
Beňadovo;02963
Beňatina;07264
Beňuš;97664
Beša;07672
Beša;93536
Bešeňov;94141
Bešeňová;03483
Bežovce;07253
Bidovce;04445
Biel;07641
Bielovce;93574
Biely Kostol;91934
Bijacovce;05306
Biskupice;98601
Biskupová;95607
Bitarová;01004
Blahová;93052
Blatnica;03815
Blatná Polianka;07244
Blatná na Ostrove;93032
Blatné;90082
Blatné Remety;07244
Blatné Revištia;07243
Blažice;04416
Blažovce;03844
Blesovce;95601
Blhovce;98032
Bobot;91325
Bobrov;02942
Bobrovec;03105
Bobrovec;03221
Bobrovník;03223
Bobrovček;03221
Bodiná;01815
Bodorová;03845
Bodovce;08266
Bodružal;09005
Bodza;94616
Bodzianske Lúky;94614
Bodíky;93031
Bogliarka;08604
Bohdanovce;04416
Bohdanovce nad Trnavou;91909
Boheľov;92901
Bohunice;01852
Bohunice;93505
Bohúňovo;04912
Bojnice;97101
Bojnice;97201
Bojničky;92055
Bojná;95601
Boldog;92526
Boleráz;91908
Bolešov;01853
Boliarov;04447
Borcová;03844
Borinka;90032
Borovce;92209
Borová;91961
Borský Mikuláš;90877
Borský Svätý Jur;90879
Bory;93587
Borčany;95636
Borčice;01853
Borša;07632
Bottovo;98041
Bočiar;04457
Boľ;07653
Boľkovce;98401
Bošany;95618
Bošáca;91307
Boťany;07643
Bracovce;07205
Branovo;94131
Branč;95113
Bratislava-Devín;84101
Bratislava-Devín;84104
Bratislava-Devín;84105
Bratislava-Devín;84107
Bratislava-Devín;84110
Bratislava-Devínska Nová Ves;82106
Bratislava-Devínska Nová Ves;84101
Bratislava-Devínska Nová Ves;84102
Bratislava-Devínska Nová Ves;84104
Bratislava-Devínska Nová Ves;84106
Bratislava-Devínska Nová Ves;84107
Bratislava-Devínska Nová Ves;84108
Bratislava-Devínska Nová Ves;84110
Bratislava-Dúbravka;82101
Bratislava-Dúbravka;82104
Bratislava-Dúbravka;84101
Bratislava-Dúbravka;84102
Bratislava-Dúbravka;84104
Bratislava-Dúbravka;84107
Bratislava-Dúbravka;84110
Bratislava-Jarovce;82105
Bratislava-Jarovce;85110
Bratislava-Karlova Ves;84101
Bratislava-Karlova Ves;84103
Bratislava-Karlova Ves;84104
Bratislava-Karlova Ves;84105
Bratislava-Karlova Ves;84107
Bratislava-Karlova Ves;84110
Bratislava-Lamač;84002
Bratislava-Lamač;84103
Bratislava-Lamač;84104
Bratislava-Lamač;84105
Bratislava-Lamač;84106
Bratislava-Lamač;84107
Bratislava-Nové Mesto;81102
Bratislava-Nové Mesto;81104
Bratislava-Nové Mesto;82101
Bratislava-Nové Mesto;83000
Bratislava-Nové Mesto;83007
Bratislava-Nové Mesto;83101
Bratislava-Nové Mesto;83102
Bratislava-Nové Mesto;83103
Bratislava-Nové Mesto;83104
Bratislava-Nové Mesto;83106
Bratislava-Nové Mesto;83107
Bratislava-Nové Mesto;83152
Bratislava-Nové Mesto;84103
Bratislava-Petržalka;81107
Bratislava-Petržalka;82108
Bratislava-Petržalka;84107
Bratislava-Petržalka;85000
Bratislava-Petržalka;85101
Bratislava-Petržalka;85102
Bratislava-Petržalka;85103
Bratislava-Petržalka;85104
Bratislava-Petržalka;85105
Bratislava-Petržalka;85106
Bratislava-Petržalka;85107
Bratislava-Petržalka;85110
Bratislava-Podunajské Biskupice;82106
Bratislava-Podunajské Biskupice;82107
Bratislava-Rača;82107
Bratislava-Rača;83004
Bratislava-Rača;83005
Bratislava-Rača;83101
Bratislava-Rača;83104
Bratislava-Rača;83106
Bratislava-Rača;83151
Bratislava-Rača;83152
Bratislava-Rača;83153
Bratislava-Rača;83154
Bratislava-Rača;84103
Bratislava-Rusovce;85009
Bratislava-Rusovce;85110
Bratislava-Ružinov;81104
Bratislava-Ružinov;81106
Bratislava-Ružinov;81107
Bratislava-Ružinov;81108
Bratislava-Ružinov;81109
Bratislava-Ružinov;82101
Bratislava-Ružinov;82102
Bratislava-Ružinov;82103
Bratislava-Ružinov;82104
Bratislava-Ružinov;82105
Bratislava-Ružinov;82106
Bratislava-Ružinov;82107
Bratislava-Ružinov;82108
Bratislava-Ružinov;82109
Bratislava-Ružinov;83104
Bratislava-Ružinov;91338
Bratislava-Staré Mesto;81101
Bratislava-Staré Mesto;81102
Bratislava-Staré Mesto;81103
Bratislava-Staré Mesto;81104
Bratislava-Staré Mesto;81105
Bratislava-Staré Mesto;81106
Bratislava-Staré Mesto;81107
Bratislava-Staré Mesto;81108
Bratislava-Staré Mesto;81109
Bratislava-Staré Mesto;82108
Bratislava-Staré Mesto;82109
Bratislava-Staré Mesto;83101
Bratislava-Staré Mesto;84107
Bratislava-Vajnory;83101
Bratislava-Vajnory;83103
Bratislava-Vajnory;83106
Bratislava-Vajnory;83107
Bratislava-Vajnory;83154
Bratislava-Vrakuňa;81102
Bratislava-Vrakuňa;82106
Bratislava-Vrakuňa;82107
Bratislava-Vrakuňa;82108
Bratislava-Vrakuňa;85107
Bratislava-Záhorská Bystrica;81108
Bratislava-Záhorská Bystrica;82106
Bratislava-Záhorská Bystrica;84002
Bratislava-Záhorská Bystrica;84008
Bratislava-Záhorská Bystrica;84103
Bratislava-Záhorská Bystrica;84106
Bratislava-Záhorská Bystrica;84107
Bratislava-Čunovo;85009
Bratislava-Čunovo;85110
Braväcovo;97664
Brdárka;04934
Brehov;07605
Brehy;96801
Brekov;06601
Brestov;06601
Brestov;08205
Brestov nad Laborcom;06701
Brestovany;91927
Brestovec;90606
Brestovec;90701
Brestovec;94617
Bretejovce;08203
Bretka;98046
Breza;02953
Brezany;01004
Brezina;07612
Breziny;96261
Breznica;09101
Breznička;09101
Breznička;98502
Brezno;97644
Brezno;97657
Brezno;97701
Brezno;97703
Brezolupy;95701
Brezov;08701
Brezovec;06773
Brezovica;02801
Brezovica;08274
Brezovička;08274
Brezovka;08611
Brezová pod Bradlom;90613
Brežany;08241
Brhlovce;93502
Brieštie;03822
Brodské;90885
Brodzany;95842
Brunovce;91625
Brusnica;09031
Brusno;97662
Brusník;99101
Brutovce;05373
Bruty;94355
Brvnište;01812
Brzotín;04951
Buclovany;08643
Budikovany;98023
Budimír;04443
Budince;07677
Budiná;98512
Budiná;98551
Budiš;03823
Budkovce;07213
Budkovce;07215
Budmerice;82104
Budmerice;90086
Budča;96233
Buglovce;05304
Bukovce;09022
Bukovec;04420
Bukovec;90614
Bukovina;03223
Buková;91910
Bulhary;98601
Bunetice;04447
Bunkovce;07244
Buzica;04473
Buzitka;98541
Bučany;91928
Bušince;99122
Bušovce;05993
Bystrany;05362
Bystričany;97245
Bystrička;03804
Bystrá;09023
Bystrá;97701
Bystré;09434
Bytča;01401
Byšta;07613
Bzenica;96601
Bzenica;96602
Bzenica;96681
Bzenov;08242
Bzince pod Javorinou;91611
Bziny;02601
Bzovská Lehôtka;96262
Bzovík;96241
Báb;95134
Bádice;95146
Báhoň;90084
Bánov;94101
Bánovce nad Bebravou;95701
Bánovce nad Bebravou;95703
Bánovce nad Bebravou;95704
Bánovce nad Ondavou;07204
Bánovce nad Ondavou;07205
Bátka;98021
Bátorove Kosihy;94634
Bátorová;98042
Bátorová;99126
Bátovce;93503
Báč;93030
Bílkove Humence;90877
Bíňa;94356
Bíňovce;91907
Bôrka;04942
Búč;94635
Bžany;09033
Cabaj-Čápor;95117
Cabov;09414
Cakov;98042
Cejkov;07605
Cernina;09016
Cerovo;96252
Cerová;90633
Cestice;04471
Chanava;98044
Chlebnice;02755
Chlmec;06741
Chmeľnica;06401
Chmeľov;08215
Chmeľovec;08212
Chmeľová;08633
Chminianska Nová Ves;08233
Chminianske Jakubovany;08233
Chmiňany;08233
Chocholná-Velčice;91304
Chorvátsky Grob;90025
Chorváty;04402
Chotín;94631
Chotča;09021
Choča;95176
Choňkovce;07263
Chrabrany;95501
Chrastince;99108
Chrastné;04444
Chrasť nad Hornádom;05363
Chrenovec-Brusno;97232
Chropov;90864
Chrámec;98042
Chrťany;99121
Chtelnica;92205
Chudá Lehota;95638
Chvalová;98262
Chvojnica;90606
Chvojnica;97213
Chynorany;95633
Chyžné;04918
Chľaba;94365
Cigeľ;97101
Cigeľka;08602
Cigla;08637
Cimenná;95637
Cinobaňa;98522
Cinobaňa;98545
Cífer;91943
Daletice;08263
Danišovce;05322
Dargov;07661
Davidov;09303
Dačov Lom;99135
Debraď;04501
Dechtice;91953
Dedačov;06712
Dedina Mládeže;94603
Dedinka;94150
Dedinky;04973
Dekýš;96901
Demandice;93585
Demjata;08213
Demänovská Dolina;03101
Detrík;09431
Detva;96212
Detvianska Huta;96205
Devičany;93504
Devičie;96265
Dežerice;95703
Diakovce;92581
Diaková;03802
Diviacka Nová Ves;97224
Diviaky nad Nitricou;97225
Divina;01331
Divinka;01331
Divín;98552
Dlhoňa;09002
Dlhá;91901
Dlhá Ves;04955
Dlhá nad Kysucou;02354
Dlhá nad Oravou;02755
Dlhá nad Váhom;92705
Dlhé Klčovo;09413
Dlhé Pole;01332
Dlhé Stráže;05401
Dlhé nad Cirochou;06782
Dlžín;97226
Dobrohošť;93031
Dobroslava;09001
Dobroč;98553
Dobrá;07641
Dobrá Niva;96001
Dobrá Niva;96261
Dobrá Voda;91954
Dobšiná;04925
Dohňany;02051
Dojč;90602
Dolinka;99128
Dolná Breznica;02061
Dolná Krupá;91965
Dolná Lehota;97698
Dolná Mariková;01802
Dolná Mičiná;97401
Dolná Poruba;91443
Dolná Seč;93531
Dolná Streda;92563
Dolná Strehová;99102
Dolná Súča;91332
Dolná Súča;91333
Dolná Tižina;01304
Dolná Tižina;01305
Dolná Trnávka;96621
Dolná Ves;96701
Dolná Ždaňa;96601
Dolné Dubové;91952
Dolné Kočkovce;02001
Dolné Lefantovce;95145
Dolné Lovčice;91927
Dolné Mladonice;96241
Dolné Naštice;95701
Dolné Obdokovce;95102
Dolné Orešany;91902
Dolné Otrokovce;92061
Dolné Plachtince;99124
Dolné Saliby;92502
Dolné Semerovce;93585
Dolné Srnie;91641
Dolné Strháre;99103
Dolné Trhovište;92061
Dolné Vestenice;97223
Dolné Zahorany;98542
Dolné Zelenice;92052
Dolný Badín;96251
Dolný Bar;93014
Dolný Chotár;92541
Dolný Harmanec;97603
Dolný Hričov;01341
Dolný Kalník;03802
Dolný Kubín;02601
Dolný Lieskov;01821
Dolný Lieskov;01822
Dolný Lopašov;92204
Dolný Ohaj;94143
Dolný Pial;93537
Dolný Vadičov;02345
Dolný Štál;93010
Domadice;93587
Domaniža;01816
Domaníky;96265
Domaňovce;05302
Donovaly;97639
Doľany;05302
Doľany;90088
Drahovce;92241
Drahňov;07674
Dravce;05314
Dražice;98023
Dražkovce;03802
Drienica;08301
Drienov;08204
Drienovec;04401
Drienovo;96251
Drienovská Nová Ves;08201
Drienčany;98023
Drietoma;91303
Drnava;04942
Družstevná pri Hornáde;04431
Drábsko;97653
Drážovce;96268
Drňa;98003
Drženice;93503
Držkovce;98262
Dubinné;08612
Dubnica nad Váhom;01841
Dubnička;95703
Dubno;98035
Dubník;94135
Dubodiel;91323
Dubovany;92208
Dubovce;90862
Dubovec;98041
Dubovica;08271
Dubová;09011
Dubová;90090
Dubové;03823
Dubové;96261
Ducové;92221
Dudince;96271
Dukovce;08644
Dulov;01852
Dulova Ves;08252
Dulovce;94656
Dulovo;98021
Dunajov;02302
Dunajská Lužná;90042
Dunajská Streda;92901
Dunajská Streda;93021
Dunajský Klátov;93021
Duplín;09101
Dvorany nad Nitrou;95611
Dvorec;95655
Dvorianky;07662
Dvorníky;92056
Dvorníky-Včeláre;04402
Dvory nad Žitavou;94131
Dúbrava;03212
Dúbrava;05305
Dúbrava;06773
Dúbravica;97633
Dúbravka;07215
Dúbravy;96212
Egreš;07501
Falkušovce;07205
Farná;93566
Fačkov;01315
Fekišovce;07233
Figa;98251
Fijaš;08701
Fintice;08216
Fiľakovo;98601
Fiľakovské Kováče;98601
Folkušová;03842
Forbasy;06501
Frička;08602
Fričkovce;08642
Fričovce;08237
Fulianka;08212
Gaboltov;08602
Gabčíkovo;93005
Gajary;90061
Galanta;92401
Galanta;92501
Galovany;03211
Gbelce;94342
Gbely;90845
Gbeľany;01302
Gelnica;05601
Gemer;98201
Gemerská Hôrka;04912
Gemerská Panica;98046
Gemerská Poloma;04922
Gemerská Ves;98262
Gemerské Dechtáre;98004
Gemerské Michalovce;98252
Gemerské Teplice;04916
Gemerský Jablonec;98035
Gemerský Sad;04913
Gemerček;98031
Geraltov;08267
Gerlachov;05942
Gerlachov;08604
Geča;04410
Giglovce;09405
Giraltovce;08701
Girovce;09406
Glabušovce;99122
Golianovo;95108
Gortva;98002
Gočaltovo;04932
Gočovo;04924
Granč-Petrovce;05305
Gregorova Vieska;98556
Gregorovce;08266
Gribov;09022
Gruzovce;06722
Gyňov;04414
Gánovce;05801
Gáň;92401
Gôtovany;03214
Habovka;02732
Habura;06752
Hajná Nová Ves;95603
Hajnáčka;98033
Hajtovka;06545
Haligovce;06534
Halič;98401
Halič;98511
Haluzice;91307
Haláčovce;95655
Hamuliakovo;90043
Handlová;97231
Handlová;97251
Hanigovce;08256
Haniska;04457
Haniska;08001
Hankovce;06712
Hankovce;08646
Hanková;04934
Hanušovce nad Topľou;09431
Harakovce;05305
Harhaj;08645
Harichovce;05301
Harmanec;97603
Hatalov;07216
Hatné;01802
Havaj;09023
Havka;06101
Havranec;09002
Hačava;04402
Hažlín;08614
Hažín;07234
Hažín nad Cirochou;06783
Helcmanovce;05563
Henckovce;04923
Henclová;05333
Hencovce;09302
Hendrichovce;08235
Hermanovce;08235
Hermanovce nad Topľou;09434
Hertník;08642
Hervartov;08622
Herľany;04445
Heľpa;97668
Hiadeľ;97661
Hincovce;05363
Hladovka;02713
Hlboké;90631
Hlboké nad Váhom;01401
Hlinné;05801
Hlinné;09433
Hlinné;09435
Hliník nad Hronom;96601
Hlivištia;07301
Hlohovec;92001
Hlohovec;92003
Hlohovec;92509
Hniezdne;06501
Hnilec;05375
Hnilčík;05332
Hnojné;07233
Hnúšťa;98101
Hnúšťa;98267
Hodejov;98031
Hodejovec;98002
Hodkovce;04421
Hodruša-Hámre;96661
Hodruša-Hámre;96663
Hodruša-Hámre;96681
Hokovce;93584
Holiare;94616
Holice;93034
Holiša;98557
Holumnica;05994
Holíč;90851
Holčíkovce;09405
Honce;04932
Hontianska Vrbica;93555
Hontianske Moravce;96271
Hontianske Nemce;96265
Hontianske Tesáre;96268
Hontianske Trsťany;93586
Horná Breznica;02061
Horná Krupá;91965
Horná Kráľová;95132
Horná Lehota;02741
Horná Lehota;97681
Horná Mariková;01803
Horná Mičiná;97401
Horná Poruba;01835
Horná Potôň;93036
Horná Seč;93531
Horná Streda;91624
Horná Streda;91625
Horná Strehová;99102
Horná Súča;91333
Horná Ves;96701
Horná Ves;97248
Horná Štubňa;03846
Horná Ždaňa;96604
Horné Chlebany;95631
Horné Dubové;91965
Horné Hámre;96671
Horné Hámre;96681
Horné Hámre;96801
Horné Lefantovce;95145
Horné Mladonice;96243
Horné Mýto;93013
Horné Naštice;95641
Horné Obdokovce;95608
Horné Obdokovce;95611
Horné Orešany;91903
Horné Otrokovce;92062
Horné Plachtince;99124
Horné Pršany;97405
Horné Saliby;92502
Horné Saliby;92503
Horné Semerovce;93584
Horné Srnie;91442
Horné Strháre;99103
Horné Trhovište;92066
Horné Turovce;93581
Horné Vestenice;97222
Horné Zahorany;98026
Horné Zelenice;92052
Horné Štitáre;95603
Horný Badín;96251
Horný Bar;93033
Horný Hričov;01342
Horný Kalník;03802
Horný Lieskov;01821
Horný Pial;93537
Horný Tisovník;96275
Horný Vadičov;02345
Horovce;02062
Horovce;07202
Horňa;07301
Horňany;91324
Hoste;92545
Hostice;98004
Hostie;95194
Hostišovce;98023
Hostovice;06735
Hosťovce;04402
Hosťovce;95191
Hosťová;95102
Hozelec;05911
Hrabičov;96678
Hrabkov;08233
Hrabovec;08611
Hrabovec nad Laborcom;06701
Hrabovka;91332
Hrabová Roztoka;06773
Hrabovčík;08901
Hrabské;08606
Hrabušice;05315
Hrachovište;91616
Hrachovo;98052
Hradisko;05971
Hradište;95854
Hradište;98524
Hradište;98525
Hradište;98526
Hradište pod Vrátnom;90612
Hraničné;06522
Hranovnica;05916
Hraň;07603
Hrašné;91614
Hrašovík;04442
Hrhov;04944
Hriadky;07622
Hričovské Podhradie;01341
Hriňová;96205
Hriňová;97653
Hrišovce;05351
Hrkovce;93601
Hrlica;98266
Hrnčiarovce nad Parnou;91935
Hrnčiarska Ves;98013
Hrnčiarska Ves;98701
Hrnčiarske Zalužany;98012
Hrochoť;97637
Hromoš;06545
Hronec;97645
Hronovce;93561
Hronsek;97631
Hronská Breznica;96611
Hronská Dúbrava;96611
Hronské Kosihy;93527
Hronské Kľačany;93529
Hronský Beňadik;96653
Hrubov;06723
Hruboňovo;95125
Hrubá Borša;90050
Hrubý Šúr;90301
Hrušov;04943
Hrušov;99142
Hrušovany;95613
Hrušovo;98025
Hrušovo;98026
Hruštín;02952
Hrádok;91633
Hrčeľ;07615
Hubice;93039
Hubina;92221
Hubovo;98050
Hubová;03491
Hubošovce;08266
Hucín;04913
Hudcovce;06745
Hul;94144
Humenné;06601
Huncovce;05992
Hunkovce;09003
Hurbanova Ves;90301
Hurbanovo;94654
Hurbanovo;94701
Hurbanovo;94703
Husiná;98542
Husák;07251
Hutka;08636
Huty;02732
Hviezdoslavov;93041
Hvozdnica;01356
Hybe;03231
Hybe;03233
Háj;03901
Háj;04402
Hájske;95133
Hôrka;05912
Hôrka nad Váhom;91632
Hôrky;01004
Hýľov;04412
Igram;90084
Ihráč;96701
Ihľany;05994
Ilava;01901
Iliašovce;05311
Ilija;96901
Imeľ;94652
Inovce;07264
Ipeľské Predmostie;99110
Ipeľské Úľany;93582
Ipeľský Sokolec;93575
Istebné;02753
Ivachnová;03483
Ivanice;98042
Ivanka pri Dunaji;90028
Ivanka pri Nitre;95112
Ivanovce;91305
Ivančiná;03845
Iňa;93535
Iňačovce;07211
Iža;94639
Ižipovce;03223
Ižkovce;07672
Jablonec;90086
Jablonica;90632
Jablonka;90621
Jablonov;05303
Jablonov nad Turňou;04943
Jablonové;01352
Jablonové;90054
Jabloň;06713
Jabloňovce;93506
Jacovce;95621
Jahodná;93005
Jahodná;93021
Jaklovce;05561
Jakovany;08301
Jakubany;06512
Jakubov;90063
Jakubova Voľa;08256
Jakubovany;03204
Jakubovany;08301
Jakušovce;09031
Jalovec;03221
Jalovec;97231
Jalová;06761
Jalšové;92231
Jalšovík;96241
Jamník;03301
Jamník;05322
Janice;98042
Jankovce;06724
Janov;08242
Janova Lehota;96624
Janovce;08641
Janovík;08203
Janík;04405
Janíky;93039
Jarabina;06531
Jarabá;97701
Jarok;95148
Jarovnice;08263
Jasenica;01817
Jasenie;97675
Jasenov;06601
Jasenov;07301
Jasenovce;09405
Jasenovo;03822
Jasenová;02601
Jasenové;01319
Jaslovské Bohunice;91930
Jasov;04423
Jasová;94134
Jastrabie nad Topľou;09435
Jastrabie pri Michalovciach;07211
Jastrabá;96701
Jatov;94110
Jazernica;03844
Jedlinka;08636
Jedľové Kostoľany;95196
Jelenec;95173
Jelka;92523
Jelšava;04916
Jelšava;04918
Jelšovce;95143
Jelšovec;98532
Jenkovce;07252
Jesenské;93536
Jesenské;98002
Jestice;98004
Jezersko;05904
Ješkova Ves;95845
Jovice;04945
Jovsa;07232
Jur nad Hronom;93557
Jurkova Voľa;08901
Jurová;93004
Jurské;05994
Juskova Voľa;09412
Jánovce;05913
Jánovce;92522
Kajal;92401
Kajal;92592
Kalameny;03482
Kalinkovo;90043
Kalinov;06801
Kalinovo;98501
Kalnište;08701
Kalná Roztoka;06772
Kalná nad Hronom;93532
Kalonda;98531
Kaloša;98252
Kaluža;07236
Kalša;04418
Kamanová;95612
Kamenec pod Vtáčnikom;97244
Kamenica;08271
Kamenica nad Cirochou;06783
Kamenica nad Hronom;94365
Kameničany;01854
Kameničná;94601
Kamenná Poruba;01314
Kamenná Poruba;09303
Kamenné Kosihy;99127
Kamenný Most;94358
Kamenín;94357
Kameňany;04962
Kamienka;06532
Kamienka;06783
Kanianka;97217
Kapince;95124
Kapišová;09001
Kaplna;90084
Kapušany;08212
Kapušianske Kľačany;07901
Karlová;03815
Karná;06745
Kazimír;07613
Kačanov;07205
Kaľamenová;03822
Kaľava;05342
Kašov;07602
Kecerovce;04447
Kecerovský Lipovec;04447
Kechnec;04458
Kendice;08201
Kesovce;98045
Kečkovce;09011
Kečovo;04955
Keť;93564
Kežmarok;06001
Kiarov;99106
Kladzany;09421
Klasov;95153
Klenov;08244
Klenovec;98055
Klenová;06772
Kleňany;99110
Klieština;01802
Klin;02941
Klin nad Bodrogom;07631
